timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1695227656512,38,/api/Content/View-8,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,38,0,0
1695227656551,46,/api/Content/View-9,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,45,0,0
1695227656597,38,/api/Content/View-10,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,38,0,0
1695227656636,39,/api/Content/View-11,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,39,0,0
1695227656675,39,/api/Content/View-12,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,39,0,0
1695227656715,42,/api/Content/View-13,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,42,0,0
1695227656758,51,/api/Content/View-14,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,51,0,0
1695227656809,40,/api/Content/View-15,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,40,0,0
1695227656850,39,/api/Content/View-16,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,39,0,0
1695227656890,37,/api/Content/View-17,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,37,0,0
1695227656927,41,/api/Content/View-18,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,41,0,0
1695227656968,39,/api/Content/View-19,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,39,0,0
1695227657008,40,/api/Content/View-20,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,39,0,0
1695227657008,40,/api/Content/View-21,Non HTTP response code: java.io.IOException,Non HTTP response message: Exceeded maximum number of redirects: 20,Https URL/API Test 1-1,text,false,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,39,0,0
1695227657050,876,/api/FlashCard,Non HTTP response code: java.io.IOException,Non HTTP response message: Exceeded maximum number of redirects: 20,Https URL/API Test 1-1,text,false,,13398,7436,1,1,https://uno-uat.nivabupa.com/error.html,42,0,0
1695227657050,42,/api/FlashCard-0,302,Redirect,Https URL/API Test 1-1,text,true,,609,401,1,1,https://uno-uat.nivabupa.com/api/FlashCard,42,0,0
1695227657093,38,/api/FlashCard-1,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,37,0,0
1695227657131,41,/api/FlashCard-2,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,41,0,0
1695227657173,45,/api/FlashCard-3,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,45,0,0
1695227657219,45,/api/FlashCard-4,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,45,0,0
1695227657264,41,/api/FlashCard-5,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,41,0,0
1695227657306,42,/api/FlashCard-6,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,41,0,0
1695227657348,39,/api/FlashCard-7,302,Redirect,Https URL/API Test 1-1,text,true,,609,335,1,1,https://uno-uat.nivabupa.com/error.html,39,0,0
